Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Bi Te 
     -0.62000      5.93111      1.77198      4.15913
     -0.61000     15.47546      7.76482      7.71065
     -0.60000     53.47661     30.79357     22.68313
     -0.59000     85.97987     50.52020     35.46009
     -0.58000     54.58622     31.47138     23.11557
     -0.57000     16.31985      8.34559      7.97472
     -0.56000      6.96174      2.73580      4.22606
     -0.55000      6.99476      2.90896      4.08587
     -0.54000      7.87035      3.38423      4.48647
     -0.53000      8.62435      3.36033      5.26478
     -0.52000      9.43001      3.34526      6.08538
     -0.51000     11.08396      3.79151      7.29263
     -0.50000     12.56437      4.40621      8.15818
     -0.49000     13.51358      4.96277      8.55081
     -0.48000     13.04859      5.00095      8.04764
     -0.47000     12.58972      5.20086      7.38886
     -0.46000     12.99493      5.82307      7.17186
     -0.45000     13.11322      5.94612      7.16715
     -0.44000     12.55519      5.80205      6.75393
     -0.43000     12.65095      5.96880      6.68719
     -0.42000     13.76917      6.15412      7.62738
     -0.41000     13.82716      6.26080      7.57908
     -0.40000     13.49437      6.55584      6.95813
     -0.39000     13.48656      7.27987      6.40618
     -0.38000     19.53737     16.36902      5.50479
     -0.37000     51.86177     58.91808      4.94630
     -0.36000     89.66756    108.13366      4.67903
     -0.35000     67.67231     79.32239      4.95604
     -0.34000     27.70891     27.23847      5.26578
     -0.33000     14.65470     10.99348      4.83946
     -0.32000     12.40228      8.96020      4.27409
     -0.31000     11.93796      8.54707      4.18361
     -0.30000     12.64850      9.16541      4.33228
     -0.29000     13.57543     10.17651      4.31925
     -0.28000     22.92611     20.85119      4.43496
     -0.27000     59.67162     63.70058      4.43967
     -0.26000     91.03120    100.95930      3.87124
     -0.25000     60.48283     65.47933      3.70876
     -0.24000     22.51119     20.80942      4.07992
     -0.23000     12.52288      8.91252      4.30289
     -0.22000     11.46616      7.78828      4.21493
     -0.21000      9.69746      6.54305      3.64603
     -0.20000      9.23838      6.38388      3.38535
     -0.19000     13.25831     10.14559      3.69548
     -0.18000     34.37615     31.24040      3.88540
     -0.17000     78.81855     76.27885      3.84763
     -0.16000     82.86235     80.58352      3.71358
     -0.15000     43.23891     40.67518      3.47770
     -0.14000     46.40265     44.15739      3.24625
     -0.13000     84.57648     83.10072      3.13571
     -0.12000     71.92923     70.24178      3.17797
     -0.11000     29.26042     26.47640      3.67509
     -0.10000     12.00911      8.88952      3.73748
     -0.09000      8.07707      5.38609      3.15349
     -0.08000      7.75787      5.16943      3.03724
     -0.07000      9.67868      6.23092      3.90581
     -0.06000     11.73095      7.11683      5.00179
     -0.05000     12.63482      7.59391      5.47197
     -0.04000     21.88357     11.51332     10.95201
     -0.03000     77.82000     34.36797     44.00541
     -0.02000    160.53900     67.91093     92.95157
     -0.01000    132.78912     56.06041     77.00180
      0.00000     46.59267     20.41737     26.50475
      0.01000     12.98740      6.27510      6.97088
      0.02000      8.16905      4.31258      4.17559
      0.03000      9.15028      5.73659      3.91064
      0.04000     21.71052     16.98532      5.15805
      0.05000     70.59203     59.67118     11.11460
      0.06000    133.26097    113.50882     19.91715
      0.07000    130.67899    110.21915     20.73221
      0.08000     66.14473     54.39238     11.98819
      0.09000     19.42053     14.22405      5.34951
      0.10000      9.75127      5.35071      4.56897
